,peak_time,amplitude,inter_event_interval,condition
0,0.0001,-25.973182291241496,0.0523,pre_drug
1,0.0524,-21.934271209818746,0.21089999999999998,pre_drug
2,0.2633,-119.71829593740593,0.05710000000000004,pre_drug
3,0.3204,-38.52861112277357,0.058699999999999974,pre_drug
4,0.3791,-25.853326812246472,0.16680000000000006,pre_drug
5,0.5459,-45.62955182912567,0.1056999999999999,pre_drug
6,0.6516,-55.6020633438452,0.37380000000000013,pre_drug
7,1.0254,-21.33468322396012,0.12839999999999985,pre_drug
8,1.1538,-72.25618118791454,0.06879999999999997,pre_drug
9,1.2226,-160.41112026174497,0.09060000000000001,pre_drug
10,1.3132,-66.98238980659102,0.0878000000000001,pre_drug
11,1.401,-72.93847782505757,0.033399999999999874,pre_drug
12,1.4344,-68.05492168900466,0.04760000000000009,pre_drug
13,1.482,-37.67550842116184,0.04679999999999995,pre_drug
14,1.5288,-34.83711141818297,0.04830000000000001,pre_drug
15,1.5771,-46.39753221595792,0.1342000000000001,pre_drug
16,1.7113,-22.087345878787886,0.047900000000000054,pre_drug
17,1.7592,-37.72096463464267,0.06209999999999982,pre_drug
18,1.8213,-35.54320670161544,0.16670000000000007,pre_drug
19,1.988,-52.13560625173556,0.04939999999999989,pre_drug
20,2.0374,-97.5815623062749,0.20619999999999994,pre_drug
21,2.2436,-145.066052575052,0.18190000000000017,pre_drug
22,2.4255,-111.83760402899591,0.09629999999999983,pre_drug
23,2.5218,-78.84061142815585,0.08720000000000017,pre_drug
24,2.609,-54.52336338784185,0.09370000000000012,pre_drug
25,2.7027,-44.607152411931075,0.06979999999999986,pre_drug
26,2.7725,-38.53881050827555,0.15200000000000014,pre_drug
27,2.9245,-67.53516096929263,0.08729999999999993,pre_drug
28,3.0118,-147.60073196650458,0.11220000000000008,pre_drug
29,3.124,-74.63899868243459,0.4523999999999999,pre_drug
30,3.5764,-49.753662961036156,0.15759999999999996,pre_drug
31,3.734,-57.15667238257238,0.03290000000000015,pre_drug
32,3.7669,-39.57265819166382,0.05549999999999988,pre_drug
33,3.8224,-35.61346832295281,0.2685000000000004,pre_drug
34,4.0909,-65.5748401340587,0.09019999999999939,pre_drug
35,4.1811,-70.87384519489942,0.035800000000000054,pre_drug
36,4.2169,-62.2059453454459,0.058399999999999785,pre_drug
37,4.2753,-89.70063695140045,0.10090000000000021,pre_drug
38,4.3762,-49.58328877157085,0.30320000000000036,pre_drug
39,4.6794,-60.31569141987613,0.08249999999999957,pre_drug
40,4.7619,-20.48894233970475,0.3230000000000004,pre_drug
41,5.0849,-56.965998804809836,0.08179999999999943,pre_drug
42,5.1667,-95.70864265518344,0.10080000000000044,pre_drug
43,5.2675,-74.11319453254859,0.12439999999999962,pre_drug
44,5.3919,-27.79215525684959,0.22299999999999986,pre_drug
45,5.6149,-68.87445147886976,0.0882000000000005,pre_drug
46,5.7031,-68.51506540022356,0.10430000000000028,pre_drug
47,5.8074,-47.4020354196112,0.1913999999999998,pre_drug
48,5.9988,-85.32197472892567,0.03500000000000014,pre_drug
49,6.0338,-58.30240911685926,0.13839999999999986,pre_drug
50,6.1722,-58.716956248233245,0.09169999999999945,pre_drug
51,6.2639,-37.692511640469135,0.09960000000000058,pre_drug
52,6.3635,-69.85721309260555,0.1452,pre_drug
53,6.5087,-42.27317560095196,0.06339999999999968,pre_drug
54,6.5721,-52.46291208076152,0.16220000000000034,pre_drug
55,6.7343,-60.48096199922046,0.22699999999999942,pre_drug
56,6.9613,-110.23925983908248,0.06370000000000076,pre_drug
57,7.025,-36.95680519416419,0.03189999999999937,pre_drug
58,7.0569,-102.39637525497176,0.08280000000000065,pre_drug
59,7.1397,-67.08198197702787,0.09149999999999991,pre_drug
60,7.2312,-100.62716520618521,0.08059999999999956,pre_drug
61,7.3118,-47.796116240608995,0.09050000000000047,pre_drug
62,7.4023,-38.33024703127551,0.09159999999999968,pre_drug
63,7.4939,-40.95526492289015,0.3490000000000002,pre_drug
64,7.8429,-37.04758119560547,0.1639999999999997,pre_drug
65,8.0069,-74.33545840573584,0.16169999999999973,pre_drug
66,8.1686,-31.226139226773537,0.3400999999999996,pre_drug
67,8.5087,-21.112640403775128,0.03440000000000154,pre_drug
68,8.5431,-28.528397707799808,0.09369999999999834,pre_drug
69,8.6368,-78.70498742118102,0.08300000000000018,pre_drug
70,8.7198,-55.69806891500522,0.12530000000000108,pre_drug
71,8.8451,-36.31840243807264,0.06080000000000041,pre_drug
72,8.9059,-51.8300677170185,0.05649999999999977,pre_drug
73,8.9624,-24.497517333888624,0.04640000000000022,pre_drug
74,9.0088,-67.29876826504861,0.09799999999999898,pre_drug
75,9.1068,-51.83592592648528,0.08360000000000056,pre_drug
76,9.1904,-107.90855680250931,0.05010000000000048,pre_drug
77,9.2405,-30.585156042821012,0.07379999999999853,pre_drug
78,9.3143,-31.02660042424462,0.14830000000000076,pre_drug
79,9.4626,-28.438868582124105,0.1493000000000002,pre_drug
80,9.6119,-23.469032496540816,0.05770000000000053,pre_drug
81,9.6696,-47.692332269095964,0.06709999999999994,pre_drug
82,9.7367,-66.51122955475095,0.04800000000000004,pre_drug
83,9.7847,-54.536852898491226,0.07769999999999833,pre_drug
84,9.8624,-59.41540196242858,0.2871000000000006,pre_drug
85,10.1495,-74.04909712744703,0.09140000000000015,pre_drug
86,10.2409,-53.06069343674833,0.09750000000000014,pre_drug
87,10.3384,-40.71649450162374,0.08520000000000039,pre_drug
88,10.4236,-26.383940873217995,0.10379999999999967,pre_drug
89,10.5274,-60.02846125729944,0.19309999999999938,pre_drug
90,10.7205,-135.0867784738197,0.06530000000000058,pre_drug
91,10.7858,-31.636238645830282,0.12020000000000053,pre_drug
92,10.906,-45.98533762538286,0.0818999999999992,pre_drug
93,10.9879,-46.51831273226787,0.0838000000000001,pre_drug
94,11.0717,-42.527571972444356,0.18219999999999992,pre_drug
95,11.2539,-40.88483088931733,0.1286000000000005,pre_drug
96,11.3825,-59.363526549312496,0.059899999999998954,pre_drug
97,11.4424,-28.168406749874542,0.1424000000000003,pre_drug
98,11.5848,-56.66542050411765,0.046700000000001296,pre_drug
99,11.6315,-24.767783914956773,0.20749999999999957,pre_drug
100,11.839,-34.77113522978808,0.05769999999999875,pre_drug
101,11.8967,-47.95138693699211,0.08050000000000068,pre_drug
102,11.9772,-58.366746577966246,0.10849999999999937,pre_drug
103,12.0857,-46.914843750394574,0.10420000000000051,pre_drug
104,12.1899,-94.32020732509855,0.10800000000000054,pre_drug
105,12.2979,-39.38441700568934,0.09169999999999945,pre_drug
